Key,Id,English(en),Korean(ko)
0,19606208512,It's locked.,잠겨있어.
1,,I don't think this is used here.,이건 여기에 사용되는 것이 아닌 것 같아.
2,1.15E+11,"What the heck is going on? Why the alarm is ringing?
I had the emergency manual tucked away somewhere for use in times like this.","대체 무슨 일이야? 웬 경보지? 
어디에 이럴때 쓰라고 비상 매뉴얼을 처박아 뒀었는데."
3,1.15E+11,"Did the power go out? Damn, where did I put my flashlight?","전기가 나간 건가? 젠장, 손전등을 어디다 뒀더라."
4,1.15E+11,Let's find the emergency manual before we wander around for no reason.,이대로 나가서 헤매기 전에 비상 매뉴얼을 찾아보자
5,1.15E+11,"Damn, I wish the bulkhead had not been closed. did it already closed?","격벽만 안내려왔으면 좋겠는데, 젠장"
6,,"First, we have to get out of the ship.",일단 선외로 나가야해
7,,"Luckily, there are stairs right next to the room. Is it blocked?",다행히 바로 옆에 올라가는 계단이 있어. 설마 막혀있을까?
8,,"Okay, let's go to the stairs first.",계단으로 가보자
9,,Why is it here?,이게 왜 여기 있는거야?
10,,"Damn, the bulkhead is closed. Is there any hole in the ship?",젠장 격벽이 내려와 있어. 어디 구멍이라도 난건가?
11,,"It's locked. I think I should find the key, but there's no key in my room.","잠겨있어. 열쇠를 찾아야 할거 같은데, 일단 내방에는 없어"
12,,It's the worst. This is obviously locked from above.,최악인데. 여긴 분명 위에서 잠그는 건데.
13,,"If the stairs blocked, I should go to the cargo bay to go out.","계단 입구가 막힌 이상, 바깥으로 가려면 화물실 쪽으로 가야해."
14,,"Without electricity, It's useless to go cargo bay. Let's start with electrical restoration.",하지만 전기가 없으면 화물실에 가도 의미가 없을거야. 전기부터 살려보자
15,,I think the numbers changed every week.,항상 주마다 비밀번호를 바꿨던거 같은데
16,,I have to open this to get to the electrical room.,여길 열어야 전기실로 갈 수 있어
17,,It's locked. Let's find the key first.,잠겨있어. 열쇠부터 찾아보자
18,,Why there's no panel board here? Must go through here to go to the electrical room. Damn it.,여긴 왜 배전반이 없는거야? 전기실로 가려면 여길 지나야 해. 젠장.
19,,The vent was connected to the next room. Let's open it.,환풍로가 옆방으로 연결 되어 있었어. 저길 열어보자
20,,"It wasn't like this just yesterday. Okay, fine. Let's check the control panel on the left side first.","어제만 해도 이렇진 않았어. 젠장, 왼쪽의 제어 패널부터 점검 해보자"
21,,"Thank goodness the power didn't go out completely. The other control panels were off, but the emergency power was on.",전력이 완전히 끊긴 건 아니라 다행이다. 다른 제어 패널은 맛이 갔지만 비상 전력은 돌아가고 있어.
22,,"Okay, let's check the battery first.",좋아. 배터리부터 점검 해보자
23,,There's one battery empty. Let's get one from somewhere.,배터리가 하나 비어 있어. 배터리를 가져오자
24,,All batteries will need to be connected for power to return.,전력이 돌아오려면 배터리가 전부 연결되어야 할거야.
25,,All right. Let's check the fuses.,좋아. 이제 퓨즈를 점검해보자
26,,Should check the battery first.,배터리 부터 점검하고 와야해
27,,Who the hell did?,대체 누가 이런거지?
28,,"Okay, now let's take a look at the control panel.",좋아 이제 제어 패널을 만져보자
29,,I hope this is the last one.,제발 이게 마지막이어야 해
30,,There's no key. It must be somewhere nearby.,열쇠가 없어. 어디 근처에 있을 텐데 
31,,"Damn, let's go to the wheelhouse first.","젠장, 일단 조타실로 올라가보자"
32,,Whose bloodstains are these? Body would be...... in the sea.,대체 누구의 핏자국인거지? 시신은 아마… 바다에 있겠군
33,,The only person on this ship who would have a gun would be the captain…,이 배에서 총을 가지고 있을 만한 사람은 선장일 텐데…
34,,I need to go wheelhouse and check why I'm left here alone...,일단 조타실로 가서 왜 나만 버려졌는지 확인해야해….
35,,"It's such a classic way, but I guess there's something important in this kind of place.","너무 고전적인 방식인데, 하지만 이런 곳에 중요한게 있겠지."
36,,"Was this ship dealing with rebels? They weren't just trading weapons, they were planning to attack civilians too...",이 배가 반군과 거래를 했다고? 무기뿐만 아니라 민간인까지 공격할 계획이었잖아...
37,,I have to use a screwdriver.,드라이버를 사용해야 해
38,,What was the password?,비밀번호가 뭐였지?
39,,I don't think I need it anymore.,더 이상 필요 없을것 같아
100,,NOVA system is activated. Now checking the state of the ship.,NOVA 시스템이 활성화되었습니다. 현재 선박의 상태를 점검 중입니다.
101,,"It's been a long time, NOVA. Things are mess, and I need your help.","오랜만이네, NOVA. 상황이 엉망인데, 네 도움을 좀 받아야겠어."
102,,"Welcome, Albert. Now we restored the electrical, but the most of the systems are not activated.","환영합니다, 엔지니어 알버트. 현재 선박의 전력이 복구 되었지만 주요 시스템 다수가 여전히 비활성화 상태입니다."
